location,n_apples,tfp_wis,umass_wis,cdc_wis,tfp_vs_umass_ratio,tfp_vs_cdc_ratio,tfp_mae,umass_mae,cdc_mae
25,78,138.58197266049828,133.34302531139468,150.680634883095,1.039289249189218,0.919706588494378,207.07712151496847,172.42174117000002,201.16666666666666
11,78,27.625942640699957,27.2913045309973,27.76954350797173,1.0122617117596038,0.9948288358708328,34.087544043460355,34.7281652302218,34.794871794871796
40,78,92.50676727395195,92.15181568040718,91.21662852358645,1.00385181334653,1.0141436794063474,120.47082977048001,114.0205305426538,109.37179487179488
19,78,44.292351258736375,44.3388918569627,48.65028369678665,0.9989503436762366,0.9104232882749229,63.12220735260784,60.2672737028295,68.53846153846153
55,78,96.32048817959344,99.46789252269001,112.06245333353883,0.9683575849123515,0.8595250711931895,131.32536324277223,129.60470365996156,146.60256410256412
50,78,10.809912101200352,11.457971502364469,12.238959259738659,0.9434403025849398,0.8832378531368017,14.51608659446998,14.52400664624231,15.666666666666666
31,78,31.0870241650983,33.15080087787154,35.57445962915023,0.9377457962365299,0.8738579444120392,42.48897406390112,44.33450427903846,47.98717948717949
09,78,45.29643566195586,49.62031601220136,51.683409911858966,0.9128606849423877,0.8764211908464347,63.35601848028135,67.70229239130768,69.87179487179488
46,78,16.884499803287344,18.575352771926514,18.12534630876068,0.9089733051425755,0.931540811174814,21.999712407839503,24.036754289244875,23.71794871794872
05,78,51.74994483038821,56.951667355724425,59.06338908325115,0.9086642627537862,0.8761763527901442,68.96047717837419,66.9204841895128,67.67948717948718
34,78,161.05133545066508,180.53797901160453,196.74413870377222,0.8920634668249671,0.8185826348461236,215.20738589363677,234.82375166920517,254.02564102564102
24,78,88.06418156013893,99.30783228030317,109.352589682569,0.8867798192550587,0.8053232375728229,117.24841910818353,123.30902588658978,134.83333333333334
01,78,78.76652641298924,89.19453293105474,91.1502851994987,0.8830869317279109,0.8641391109264728,101.54168446046484,110.97082914982053,112.23076923076923
47,78,111.07835223311892,126.6008371362271,122.34342275990304,0.8773903454808484,0.9079225488983447,143.71877416268268,159.8880659642308,151.2948717948718
39,75,296.20379414430846,345.50319255350314,388.2006157472222,0.8573113086312208,0.7630173217890575,407.71599122011713,452.67133249439996,524.96
54,78,50.702877377806516,59.14839729321427,60.341419732905976,0.8572147293604411,0.8402665632037942,75.45188036357622,79.13998147396153,83.76923076923077
38,78,9.989311379310488,11.716769682715562,11.269437892833663,0.8525653102191298,0.8864072435824666,13.507918809844783,14.907621932961534,14.115384615384615
48,78,372.76113281011584,439.764846295475,441.18859025908137,0.8476374042859719,0.8449020238515631,461.7887121174355,537.818145102564,539.7435897435897
45,78,103.71867276974925,122.61228889708384,124.45571499732903,0.8459076468004509,0.8333781439604857,133.8826105219372,150.29030544969234,155.66666666666666
51,78,93.84206182971431,112.07233143739909,110.43412128780409,0.8373347875084782,0.8497560422032159,131.28223268039682,146.18785669187181,140.37179487179486
US,78,4382.892430056963,5270.424621575779,5409.681218775271,0.8316013878871382,0.8101942152978159,6045.384282841464,6351.023204153847,6580.2692307692305
20,78,45.150941030119675,54.316028804043505,54.16035713264301,0.8312636623898111,0.8336529413855496,63.424621387181325,70.34373703110256,71.88461538461539
17,78,201.30779197634158,242.7681104473846,256.3496208072404,0.8292184323771439,0.7852860922611351,266.23482592751157,288.7132885000001,310.03846153846155
53,78,75.14033097336754,91.18287298588696,87.99999319115715,0.8240618935641297,0.8538674634911013,96.83040619201428,113.23111536794873,110.35897435897436
08,78,66.686057388853,80.93120670822279,78.65987292837771,0.8239844690475565,0.8477773343159701,86.10184552581289,102.4922512006154,98.02564102564102
28,78,42.34321812528318,51.501228350152914,49.337118972715324,0.8221788000355036,0.8582426174641461,52.11095054031367,66.27767449339744,62.87179487179487
16,78,29.539708093986583,36.308884987343994,35.89874232515614,0.8135669300856551,0.8228619216358048,37.169362267046445,47.86325682899615,45.97435897435897
18,78,143.66609488734076,177.09673888970076,176.92571678110622,0.8112294771097889,0.812013637706979,200.33558165095894,235.74646310371796,236.55128205128204
37,78,170.96078812616602,211.8223155405502,219.95325258362098,0.8070952660955033,0.7772596500302754,227.83136005835973,253.98110813319232,274.37179487179486
22,78,66.78022142085258,82.93117457857333,84.65949540351743,0.8052487108762882,0.7888095848262994,84.73110532920423,104.51810207858975,106.76923076923077
32,78,31.624705088189057,39.3176336979581,36.728222151955954,0.8043389724603756,0.8610464442669705,37.695350125205564,45.95809860293589,41.65384615384615
36,78,258.3522558998307,323.9328090754021,360.48905885457754,0.7975489010737837,0.7166715592443288,350.69688135215233,353.7218994870513,396.0
13,78,128.9780846123876,162.47972899152114,162.65307415351745,0.7938103135260535,0.7929643216620286,155.77386898518435,194.50265108576923,196.87179487179486
23,78,20.73439882145521,26.1457651901868,26.95945090688692,0.7930308663996332,0.769095739118281,28.98452597259463,32.91092323100769,35.705128205128204
02,78,8.464984959118112,10.709820221065538,10.019935159229128,0.7903946830468753,0.844814345063023,11.255357347059062,14.437163883410257,13.192307692307692
26,78,152.94236816261514,193.54381424339635,196.4287677052515,0.7902209055892546,0.7786149144513839,204.82296781579151,241.61588107358972,237.34615384615384
21,78,100.29029096056726,129.7143975680643,126.61901577518904,0.7731623693348497,0.7920634222795714,139.4083111502608,154.449438893141,154.60256410256412
10,78,23.736938905872176,31.025908817763685,28.744787010601584,0.7650682868081448,0.8257823895900698,31.30964979929223,36.13427466953462,33.48717948717949
42,78,385.72625100430815,505.7941484992806,545.7363866565993,0.7626150918289178,0.706799583893283,492.5382212221187,582.3800456202565,658.7820512820513
29,78,128.14797196183133,168.53148391808293,162.4641387658202,0.7603800131737962,0.7887769752471158,172.63774687202132,209.2105195962821,201.76923076923077
49,78,36.05570815905274,47.84785785766793,42.74276932466305,0.7535490568105878,0.8435510550377043,42.14902221892873,52.78553462194872,47.243589743589745
41,78,67.61830995154368,90.18299818315839,88.06241309089413,0.749789997159036,0.7678452994667663,86.33524275836307,110.68177508582049,106.03846153846153
44,78,15.890268696551633,21.251728556945064,21.100128747123605,0.7477165282801758,0.7530887079879933,21.765892510010467,26.297473240015385,26.512820512820515
27,78,91.831391070818,123.44215476681701,107.0460374646614,0.7439224569944365,0.8578681962060843,128.6419348953704,151.6280348458333,132.25641025641025
12,78,283.83884798320344,386.4737370191424,398.43690638046525,0.734432435622772,0.712380915115748,382.50279537352924,482.4963581705127,499.71794871794873
04,78,227.69262766025233,314.2367722458139,287.0693701345743,0.724589378999025,0.7931623898206662,266.0269968645967,367.82995241858964,335.06410256410254
56,78,12.058241592554968,16.70831415817196,14.466201491000987,0.7216910981205927,0.8335458067590208,16.428799156468127,21.253666392816665,18.371794871794872
06,78,409.46755615506584,575.0089145461261,547.0532594329391,0.7121064487813591,0.7484966940504277,494.33175433403466,700.6839105653845,669.3589743589744
15,78,11.490709898824074,16.495752187290535,15.660748350591717,0.6965859918577892,0.733726744187797,14.716428371804055,19.628710340923078,18.128205128205128
30,78,15.612572014470492,22.58569982871348,22.50526059746877,0.6912591654398079,0.6937298924779606,21.20829503442491,29.751576056142305,29.692307692307693
35,78,26.946142675435496,43.04232295256118,42.92531805041913,0.6260382996785284,0.6277447413152571,33.2139646628877,53.524560095935904,50.43589743589744
72,66,109.83381565778583,200.30521552180755,189.4119762024087,0.5483322806730814,0.5798673233862237,122.37085013278892,236.44382180928784,213.15151515151516
33,78,20.134572442311025,42.209325547841146,30.31530702950361,0.4770171563032908,0.6641718133586956,26.763534535629585,50.9517096623205,38.96153846153846
