domain,domain_key,n_series,n_windows,has_owa,tfp_mae,tfp_smape,tfp_wis,tfp_cov,theta_mae,theta_smape,theta_wis,theta_cov,naive2_mae,naive2_smape,naive2_wis,naive2_cov,tfp_vs_theta_mae_ratio,tfp_vs_theta_mae_ci_lo,tfp_vs_theta_mae_ci_hi,tfp_vs_theta_smape_ratio,tfp_vs_theta_smape_ci_lo,tfp_vs_theta_smape_ci_hi,tfp_vs_theta_wis_ratio,tfp_vs_theta_wis_ci_lo,tfp_vs_theta_wis_ci_hi,tfp_vs_naive2_mae_ratio,tfp_vs_naive2_mae_ci_lo,tfp_vs_naive2_mae_ci_hi,tfp_vs_naive2_smape_ratio,tfp_vs_naive2_smape_ci_lo,tfp_vs_naive2_smape_ci_hi,tfp_vs_naive2_wis_ratio,tfp_vs_naive2_wis_ci_lo,tfp_vs_naive2_wis_ci_hi,tfp_mase,theta_mase,naive2_mase,tfp_owa,tfp_smape_ratio,tfp_mase_ratio,theta_owa,theta_smape_ratio,theta_mase_ratio
Flu US,flu,53,530,False,17.489263668365975,64.22825091254118,618.374291205687,100.0,67.02170887398496,100.98380050777287,688.5234148888711,97.50277469478357,26.547169811320753,97.6086140460279,620.3520348148423,99.66703662597114,0.3013354842229105,0.22434682589305938,0.38730961420045895,0.6298712346965754,0.5894059579623793,0.6724934549851502,0.9106169454344573,0.8662218588956433,0.9433549286981123,0.7228192402076479,0.539305765038321,0.9507594977212344,0.6671752530491404,0.6315415020896542,0.7058347662614546,0.9912795551657126,0.973500204205336,1.0043144222777918,,,,,,,,,
Covid Hosp,covid,50,500,False,8.664279656861869,58.96245282128089,73.27097197654683,99.41176470588235,9.215638787306556,72.11691479150839,69.65059781031773,96.11764705882354,26.122352941176473,97.8177910570506,158.71175041843892,73.99999999999999,0.9345087470263697,0.864089703562411,1.0123209529217843,0.8165402619624451,0.7704275876004784,0.8643874825086946,1.0538061716149347,1.0183049590865267,1.0906192551742908,0.3204614743767196,0.3077156595711187,0.33209612360984464,0.5898781229876546,0.5687051945568439,0.6121120657629208,0.44604300978732064,0.4281151298067432,0.4654537315795246,,,,,,,,,
Bass Tech,bass,14,107,False,3.028390579098596,5.348767009804362,66.80920944328032,100.0,7.424969375358117,12.198927930248193,72.81849265263267,98.37662337662337,6.015393094300657,11.366362871518337,76.11444023614104,98.05194805194806,0.3679802975035253,0.305455359098864,0.43354285132932086,0.40061939532862734,0.3403529549369964,0.4604471566164239,0.8991108604487458,0.852226219820622,0.944459375369173,0.49221169709513396,0.429627436194365,0.5595976476547577,0.456579159537986,0.3946950825917126,0.5222572055422976,0.8690644311422331,0.8183168556329484,0.919466294377481,,,,,,,,,
NYISO Load,nyiso,11,110,False,26355.539787131744,11.318588696198917,217891.35088174616,83.42245989304814,55696.76150085193,20.471185065037197,479219.406805706,67.37967914438504,23715.016566844923,10.86747246747991,207861.45679693602,86.63101604278076,0.45111285673368573,0.39344109722510384,0.5319865736950935,0.5396093067831005,0.4875540076581743,0.6046785594382124,0.41342670260021047,0.3680239887748319,0.48068426140116727,1.086621919531591,0.9696101568632606,1.216560865882062,1.0131236041826943,0.9404165153095254,1.103465846509528,1.0486415746937665,0.9602630329206714,1.1372756316074202,,,,,,,,,
M4 Weekly,m4_weekly,150,1500,True,306.04014036729797,7.994869776598695,2770.996317437153,98.6962962962963,912.2804971419929,22.377626279413207,7213.3015773951665,60.88888888888889,663.0816327737779,15.913780136352697,4745.2082466149395,83.34814814814816,0.3273072445722031,0.3090323982034629,0.34727313822128586,0.3491833739672455,0.3305540216408412,0.37006481501163446,0.3777991377974804,0.35674769223483405,0.3994336519815505,0.4438423875072275,0.42486874991905893,0.4622103866712603,0.488694708568864,0.46975806149705457,0.5077030992992548,0.5623360488055608,0.5417136180360437,0.5856911034648702,0.5548126533900796,1.6079525662107979,1.17666897536033,0.486948918695872,0.502386592506427,0.4715112448853169,1.386354211635178,1.4061791785280984,1.3665292447422575
M4 Daily,m4_daily,100,1000,True,90.8752131660503,1.7360030595647244,1429.8256064897994,98.38775510204081,540.9643266124099,10.272504322132995,4846.198902932219,65.08163265306122,129.20769056122447,2.6427221021407648,1582.3372116351418,96.83673469387755,0.15471925666361355,0.14234632985041512,0.16807626621292598,0.15505744478213926,0.1418406174541451,0.16900840344262172,0.2829219483304863,0.25661827310789026,0.31124775864725424,0.6409654679268593,0.6104489985052761,0.6719703666982028,0.6010520085494006,0.5676358700726433,0.635044288094429,0.8850843438603165,0.8647806282178729,0.9037349906687735,0.6600693990022684,3.657837153883899,0.9398609514108541,0.6796024819709784,0.6568995877994349,0.7023053761425219,3.8894919847640015,3.887092144047853,3.8918918254801493
M4 Monthly,m4_monthly,100,1000,True,239.24979997021924,5.334143001380052,2667.6528698117354,97.57777777777777,378.58411029600967,8.002871396341888,3170.3376892255446,90.64444444444443,332.362292750976,6.277060656359094,3110.286880528665,96.97777777777777,0.6098199907438676,0.5610441483555578,0.6646527961735141,0.6404092007530977,0.6039972126084268,0.6768920421850955,0.8146186376892632,0.7775531349893557,0.8498249477523788,0.6663933302105695,0.6058972297703883,0.7287103185447543,0.8097120131099743,0.7580430555792421,0.8588820790232207,0.8102284050465223,0.7582778037689794,0.8626639109096513,0.8441176440862617,1.6305901529800002,1.0332187147951948,0.8333811154662321,0.8497835680425038,0.8169786628899605,1.4265524174315014,1.274939312277384,1.578165522585619
Kaggle Store,kaggle_store,100,1000,False,8.686793152193959,21.427872286922607,67.49930220295683,97.75510204081631,11.107053297470346,23.923124099231263,81.86218010991948,93.24489795918367,7.77469387755102,19.254577088405878,62.96892349289638,98.61224489795919,0.8441241810196873,0.8158313285227217,0.8758956326332025,0.9547365225348012,0.9223744151082091,0.989358778558328,0.8750326029378146,0.8550324147894681,0.896072920131875,1.0888071313412189,1.0537159678314085,1.1228972367345544,1.0933298518219805,1.0589777072634552,1.1289327787627075,1.0545976283471932,1.0320219707340494,1.0763181703762164,,,,,,,,,
M5 Retail,m5,100,1000,False,1.2936596656948598,113.10061441682943,10.09517873601448,77.14285714285714,1.1367549322057473,141.13448280020148,8.204258477992436,82.20408163265306,1.2742857142857142,80.74766863665977,10.071993883948196,78.51020408163265,1.1101914959381387,1.047292288050348,1.1821116744648237,0.7702433131760593,0.740086498361204,0.7999498430852511,1.200939169539354,1.1253576924207642,1.289370104603044,0.9390161102590364,0.8874983238970282,0.9940726912128011,1.263402386070015,1.2221866400918453,1.302006665585104,0.9531805386800988,0.8978346006938708,1.0099702252897733,,,,,,,,,
Wikipedia,wikipedia,100,1000,False,478.5381746488051,46.9507218597026,5078.975229063001,84.87755102040815,545.1880717573807,65.46755609103157,4980.631378693454,77.34693877551021,492.1677551020409,44.78152430981413,5280.020169979222,84.44897959183672,0.8479387824374343,0.737885928419375,0.9695582557461481,0.7061171899177835,0.6686818455751941,0.7455864936762743,0.9731816403673799,0.8520700457389068,1.112697532762378,0.9931097413066987,0.8305986658371862,1.189544099198381,1.0165545978534618,0.9827965002005662,1.0513260398606394,0.9902447740445506,0.8170065119732617,1.2180541235715245,,,,,,,,,
Finance,finance,35,350,False,5.4285619387001285,1.894620704642327,65.21541879981287,99.71428571428571,43.72081179746082,16.60725508876018,353.3875989299107,39.785714285714285,6.446026856558664,2.307229984523578,70.31051909771848,99.07142857142857,0.11538119311252452,0.10350762241971811,0.1296776246036781,0.10437654541095483,0.09616596912374496,0.11442753558617541,0.1795250123405925,0.16361636743191935,0.197344788264739,0.8474021659173673,0.7788910981318304,0.9163255053713388,0.8190367675558228,0.7682736227219061,0.8684575645565963,0.9310542978915047,0.8985147242718204,0.9596948527159259,,,,,,,,,
